Id	NpcId	Level	BuffLevel	BuffIds	Note
10101	93653	506	[1]	[776976]	编队士兵
10102	93223	325	[1]	[776976]	Deporter-R（极限型）
10103	90030	280	[1]	[776976]	修理机工（极限型）
10104	90770	325	[1]	[776976]	海5-灯乌贼（极限型）
10105	93482	271	[1]	[776976]	极光守卫者（极限型）
10106	93542	541	[1]	[776976]	极光 地面堡垒（极限型）
10201	90380	427	[1]	[776976]	构造体（极限型）
10202	93050	345	[1]	[776976]	构造体士兵（女）（极限型）
10203	90440	433	[1]	[776976]	自律警卫(极限型）
10204	90420	275	[1]	[776976]	武藏陆型（极限型）
10205	93653	506	[1]	[776976]	编队士兵
10206	93353	295	[1]	[776976]	精英构造体
10301	90730	295	[1]	[776976]	白先生（极限型）
10302	90720	229	[1]	[776976]	马天尼（极限型）
10303	90030	280	[1]	[776976]	修理机工（极限型）
10304	90090	382	[1]	[776976]	地面监视器（极限型）
10305	90110	399	[1]	[776976]	巡境者（极限型）
10306	90210	262	[1]	[776976]	园丁（极限型）
10401	93353	295	[1]	[776976]	精英构造体
10402	90440	433	[1]	[776976]	自律警卫(极限型）
10403	90430	110	[1]	[776976]	武藏玖型（极限型）
20101	90970	304	[1]	[776976]	M4-医疗机（极限型）
20102	90770	325	[1]	[776976]	海5-灯乌贼（极限型）
20103	90990	448	[1]	[776976]	先锋冲浪者（极限型）
20104	90460	325	[1]	[776976]	深海潜伏者
20105	90600	1084	[1]	[776976]	异合分解单元（极限型）
20106	90630	406	[1]	[776976]	异合勘探单元（极限型）
20201	90400	241	[1]	[776976]	仿生斗牛（极限型）
20202	90410	541	[1]	[776976]	酸液工蚁（极限型）
20203	90350	332	[1]	[776976]	消防卫士（极限型）
20204	90330	336	[1]	[776976]	信使（极限型）
20205	90340	233	[1]	[776976]	禁卫（极限型）
20206	90360	330	[1]	[776976]	分解者（极限型）
20301	90400	241	[1]	[776976]	仿生斗牛（极限型）
20302	90400	241	[1]	[776976]	仿生斗牛（极限型）
20303	90470	413	[1]	[776976]	异聚液压
20304	90490	500	[1]	[776976]	异聚空中监视器
20305	90460	325	[1]	[776976]	深海潜伏者
20306	90480	328	[1]	[776976]	异聚哨戒机炮
20401	90980	438	[1]	[776976]	PK43型“警长”（极限型）
20402	93020	325	[1]	[776976]	SSG-游曳者（极限型）
20403	90450	296	[1]	[776976]	极地机兵
30101	90760	500	[1]	[776976]	陆3-长耳兔（极限型）
30102	90750	479	[1]	[776976]	空7-雪鸮（极限型）
30103	93010	927	[1]	[776976]	DB02-洁霸（极限型）
30104	90780	239	[1]	[776976]	陆1-极地熊（极限型）
30105	90890	792	[1]	[776976]	感染构造体（极限型）
30106	90960	299	[1]	[776976]	贝雅（极限型）
30201	93010	927	[1]	[776976]	DB02-洁霸（极限型）
30202	93020	325	[1]	[776976]	SSG-游曳者（极限型）
30203	90760	500	[1]	[776976]	陆3-长耳兔（极限型）
30204	90330	336	[1]	[776976]	信使（极限型）
30205	90740	325	[1]	[776976]	阿茂
