Id	Des	ElementType	ElementId	ElementCount	GroupId	Weight	Condition	ConditionWeight	IsShow	Color
101	时间轴奖励大量金币	4		100	101	100			1	
10001		4		100	10001	100			1	
10002		4		101	10001	100			1	
10003		4		102	10001	100			1	
10004		4		103	10002	100			1	
10005		4		104	10002	100			1	
10006		4		105	10002	100			1	
10007		4		106	10003	100			1	
10008		4		107	10003	100			1	
10009		4		108	10003	100			1	
10010	存钱罐用三色等级+2	7	1	2	10004	100			1	
10011	存钱罐用三色等级+2	7	2	2	10005	100			1	
10012	存钱罐用三色等级+2	7	3	2	10006	100			1	
10013	测试用1星招募券-红黄蓝都有	3	2	1	10007	100			1	
10014	测试用1星招募券-红黄蓝都有	3	2	1	10007	100			1	
10015	测试用1星招募券-红黄蓝都有	3	2	1	10007	100			1	
10016	测试用2星招募券-红黄蓝都有	3	3	1	10008	100			1	
10017	测试用2星招募券-红黄蓝都有	3	3	1	10008	100			1	
10018	测试用2星招募券-红黄蓝都有	3	3	1	10008	100			1	
10019	测试用掉10金币	4		10	10009	100			1	
10020	金蛋奖励	1	2	1	10020	100			1	
10021	银蛋奖励	1	1	2	10021	100			1	
10022	铜蛋奖励	3	3	1	10022	100			1	
10023	金蛋奖励2	13		1	10023	100			1	
11001	宝箱专用，第1章金币	4		60	11001	100			1	
11002	宝箱专用，第2章金币	4		60	11002	100			1	
11003	宝箱专用，第3章金币	4		75	11003	100			1	
11004	宝箱专用，第4章金币	4		60	11004	100			1	
11005	宝箱专用，第5章金币	4		85	11005	100			1	
11006	宝箱专用，第6章金币	4		85	11006	100			1	
11007	宝箱专用，第1章藏品箱	1	1	1	11007	100			1	
11008	宝箱专用，第2章藏品箱	1	1	1	11008	100			1	
11009	宝箱专用，第3章藏品箱	1	1	1	11009	100			1	
11010	宝箱专用，第4章藏品箱	1	1	1	11010	100			1	
11011	宝箱专用，第5章藏品箱	1	1	1	11011	100			1	
11012	宝箱专用，第6章藏品箱	1	1	1	11012	100			1	
12001	凑数事件，第1章金币换产出	4		10	12001	100			1	
12002	凑数事件，第2章金币换产出	4		10	12002	100			1	
12003	凑数事件，第3章金币换产出	4		10	12003	100			1	
12004	凑数事件，第4章金币换产出	4		10	12004	100			1	
