Id	Type	Price	DiscountPrice	SellPrice	Quality	BuffType	CharacterId	Name	IconRes	Info	Desc	DescDigit	EvolveDescDigit	AddDesc	AddDigit	Tags	Keywords	IsShow	Order
10001	1				1		[3]	圣轮蓄击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon001.png		蓄力后拔枪射击，对目标造成{0}%<color=#f2c870>圣源属性</color>伤害，同时召唤无人机，每秒对目标造成{1}%<color=#f2c870>圣源属性</color>伤害，持续{2}秒	['130', '100', '3']				[3]		True	1
10002	1				1		[3]	延时破袭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon002.png		向目标突进并射击，造成{0}%<color=#f2c870>圣源属性</color>伤害，{1}秒后召唤无人机对目标造成{2}次{3}%<color=#f2c870>圣源属性</color>伤害	['70', '2', '2', '135']				[3]		True	2
10003	1				1		[3]	圣辉裂空	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon003.png		向目标投掷炸药并进行射击，造成{0}%<color=#f2c870>圣源属性</color>伤害，召唤无人机，每秒对目标造成{1}%<color=#f2c870>圣源属性</color>伤害，持续{2}秒	['120', '80', '3']				[3]		True	3
10004	1				1		[3]	寂灭灵辉	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon004.png		向目标发射一枚强力子弹，造成{0}%<color=#77baf0>灵源属性</color>伤害	['275']				[2]		True	4
10005	1				1		[3]	驰风速射	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon005.png		快速向目标射击，造成{0}%<color=#77baf0>灵源属性</color>伤害	['480']				[2]		True	5
10006	1				1		[3]	灵眷爆破	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon006.png		向目标投掷炸药并引爆，造成{0}%<color=#77baf0>灵源属性</color>伤害	['300']				[2]		True	6
10007	1				1		[3]	碎光盾佑	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon007.png		扔出手枪，为自己添加{0}%<color=#ecd7bd>最大生命值</color>的护盾值	['9.6']				[4]	[4]	True	7
10008	1				1		[3]	推锋环御	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon008.png		向前冲刺并对目标造成{0}%<color=#ecd7bd>物理属性</color>伤害，随后{1}秒内，每秒为自己添加{2}%<color=#ecd7bd>最大生命值</color>的护盾值	['120', '5', '2.2']				[4]	[4]	True	8
10009	1				1		[3]	推锋铸构	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon009.png		向前冲刺并为自身添加{0}%<color=#ecd7bd>最大生命值</color>的护盾值，同时召唤无人机造成{1}次{2}%<color=#ecd7bd>物理属性</color>伤害	['8.5', '1', '75']				[4]	[4]	True	9
10010	1				1		[3]	避闪阻击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon010.png		后撤并召唤分身向目标进行射击，造成{0}%<color=#ecd7bd>物理属性</color>伤害，随后{1}秒内，每秒回复{2}%<color=#ecd7bd>最大生命值</color>的生命值	['70', '3', '2.8']				[5]	[5]	True	10
10011	1				1		[3]	突进阻击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon011.png		向前冲刺并召唤分身向目标进行射击，造成{0}%<color=#ecd7bd>物理属性</color>伤害，同时治疗{1}%<color=#ecd7bd>最大生命值</color>的生命值，	['72', '8.5']				[5]	[5]	True	11
10012	1				1		[3]	明心涤魂	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon012.png		蓄力后进行一次射击，造成{0}%的<color=#ecd7bd>物理属性</color>伤害，同时治疗{1}%<color=#ecd7bd>最大生命值</color>的生命值	['145', '12']				[5]	[5]	True	12
10013	1				1		[3]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png										13
10101	1				1		[1]	焚涡追袭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon101.png		向目标突进，并造成{0}%<color=#f15265>血源属性</color>伤害，并在自身位置召唤血雨，每秒造成一次{1}%<color=#f15265>血源属性</color>伤害，持续{2}秒	['35', '125', '3']				[1]		True	14
10102	1				1		[1]	焚涡避匿	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon102.png		侧向闪避后向目标突进，造成{0}%<color=#f15265>血源属性</color>伤害，并在自身位置召唤血雨，每秒造成一次{1}%<color=#f15265>血源属性</color>伤害，持续{2}秒	['35', '125', '3']				[1]		True	15
10103	1				1		[1]	焚涡崩坠	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon103.png		跃向目标并造成{0}%<color=#f15265>血源属性</color>伤害，随后下砸落地，造成{1}%<color=#f15265>血源属性</color>伤害，并在自身位置召唤血雨，每秒造成一次{2}%<color=#f15265>血源属性</color>伤害，持续{3}秒	['14', '14', '125', '3']				[1]		True	16
10104	1				1		[1]	倾翼射击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon104.png		侧向闪避后向目标射击，造成{0}%<color=#f2c870>圣源属性</color>伤害	['380']				[3]		True	17
10105	1				1		[1]	缭旋射击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon105.png		跃起后向目标释放钩锁，快速拉近距离并造成{0}%<color=#f2c870>圣源属性</color>伤害	['420']				[3]		True	18
10106	1				1		[1]	圣臻轰击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon106.png		向目标进行一次强力射击，造成{0}%<color=#f2c870>圣源属性</color>伤害，随后每秒对目标射击一次，造成{1}%<color=#f2c870>圣源属性</color>伤害，持续{2}秒	['155', '40', '3']				[3]		True	19
10107	1				1		[1]	奔突追袭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon107.png		受击后触发，向敌人突进并造成{0}%<color=#ecd7bd>物理属性</color>伤害，并获得{1}%<color=#ecd7bd>最大生命值</color>的护盾值	['35', '10']				[4]	[4]	True	20
10108	1				1		[1]	旋弹追袭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon108.png		受击后触发，对敌人造成{0}次反击，每次造成{1}%<color=#ecd7bd>物理属性</color>伤害，并获得{2}%<color=#ecd7bd>最大生命值</color>的护盾值	['3', '20', '9']				[4]	[4]	True	21
10109	1				1		[1]	炙刃暴风	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon109.png		对自身周围造成{0}%<color=#ecd7bd>物理属性</color>伤害，并获得{1}%<color=#ecd7bd>最大生命值</color>的护盾值	['55', '9.5']				[4]	[4]	True	22
10110	1				1		[1]	强焰虹吸	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon110.png		向敌人突进并快速进行{0}次攻击，每次造成{1}%<color=#ecd7bd>物理属性</color>伤害，命中目标时可回复自身{2}%<color=#ecd7bd>最大生命值</color>的生命值	['2', '45', '4.5']				[5]	[5]	True	23
10111	1				1		[1]	爆裂强袭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon111.png		向敌人突进并进行多次斩击，造成{0}%<color=#ecd7bd>物理属性</color>伤害，每次命中目标时可回复生命，最多回复自身{1}%<color=#ecd7bd>最大生命值</color>的生命值	['160', '12']				[5]	[5]	True	24
10112	1				1		[1]	超态荡涤	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon112.png		跃向目标后下砸落地，造成{0}%<color=#ecd7bd>物理属性</color>伤害，随后{1}秒内，每秒恢复自身{2}%<color=#ecd7bd>最大生命值</color>的生命值	['165', '5', '2.5']				[5]	[5]	True	25
10113	1				1		[1]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png										26
10201	1				1		[2]	霆枪劫劈	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon201.png		跃向目标并造成{0}%<color=#77baf0>灵源属性</color>伤害，并为目标附加{1}层【灵疮】	['320', '2']				[2]	[1]	True	27
10202	1				1		[2]	雷动迅突	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon202.png		向目标迅速地进行攻击，造成{0}%<color=#77baf0>灵源属性</color>伤害，并为目标添加{1}层【灵疮】	['270', '3']				[2]	[1]	True	28
10203	1				1		[2]	灼电凌空	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon203.png		对自身周围造成{0}%<color=#77baf0>灵源属性</color>伤害，并为目标附加{1}层【灵疮】	['120', '5']				[2]	[1]	True	29
10204	1				1		[2]	锋刃斩焰	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon204.png		跃向目标并造成{0}%<color=#f15265>血源属性</color>伤害，随后下砸落地，再次对目标造成{1}%<color=#f15265>血源属性</color>伤害，并为目标添加{2}层【流血】	['56', '56', '3']				[1]	[2]	True	30
10205	1				1		[2]	炽旺燎发	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon205.png		攻击目标，造成{0}%<color=#f15265>血源属性</color>伤害，使接下来{1}次普攻变为<color=#f15265>血源属性</color>攻击，每次普攻都为目标添加{2}层【流血】	['256', '4', '1']				[1]	[2]	True	31
10206	1				1		[2]	熛流焚天	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon206.png		发动攻击造成{0}%<color=#f15265>血源属性</color>伤害，若目标身上存在【流血】效果，则额外造成{1}%<color=#f15265>血源属性</color>伤害，若目标不存在【流血】效果，添加{2}层【流血】	['238', '220', '1']				[1]	[2]	True	32
10207	1				1		[2]	耀枪戍护	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon207.png		以双刀做出护卫姿态，为自己添加{0}%<color=#ecd7bd>最大生命值</color>的护盾值，造成{1}%<color=#ecd7bd>物理属性</color>伤害	['9', '96']				[4]	[4]	True	33
10208	1				1		[2]	火树悬槌	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon208.png		造成{0}%<color=#ecd7bd>物理属性</color>伤害，并获得{1}%<color=#ecd7bd>最大生命值</color>的护盾值	['68', '9.5']				[4]	[4]	True	34
10209	1				1		[2]	炎渊诛罚	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon209.png		挑衅目标，并生成{0}%<color=#ecd7bd>最大生命值</color>的护盾值	['11']				[4]	[4]	True	35
10210	1				1		[2]	绯赫破鞘	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon210.png		对目标进行多次连续的攻击，造成{0}%<color=#ecd7bd>物理属性</color>伤害，每秒为自己恢复{1}%<color=#ecd7bd>最大生命值</color>的生命值，持续{2}秒	['80', '6', '3']				[5]	[5]	True	36
10211	1				1		[2]	终裁进击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon211.png		旋身转动并攻击目标，造成{0}%<color=#ecd7bd>物理属性</color>伤害，若落地时攻击命中目标，则为自己恢复{1}%<color=#ecd7bd>最大生命值</color>的生命值	['90', '18']				[5]	[5]	True	37
10212	1				1		[2]	烁石戗影	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon212.png		发动{0}%物理伤害攻击，为自己一次性恢复{1}%<color=#ecd7bd>最大生命值</color>的生命值	['80', '20']				[5]	[5]	True	38
10213	1				1		[2]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png										
10301	1				1		[4]	圣华瞬影	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon213.png		进行连段攻击，共造成{0}%<color=#f2c870>圣源属性</color>伤害；首次释放技能后，生成一张影牌；影牌会在莉莉丝再次释放此技能时攻击敌人造成{1}%<color=#f2c870>圣源属性</color>伤害。	['491', '270']				[3]		True	1
10302	1				1		[4]	幻影牌阵	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon214.png		掷出牌造成{0}%<color=#f2c870>圣源属性</color>伤害，之后突进至目标身前造成{1}%<color=#f2c870>圣源属性</color>伤害；首次释放技能后，生成一张影牌；影牌会在莉莉丝再次释放此技能时攻击敌人造成{2}%<color=#f2c870>圣源属性</color>伤害。	['20', '100', '270']				[3]		True	2
10303	1				1		[4]	晶境圣绽	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon215.png		瞬移到目标身后进行连续{0}次斩击，每次斩击造成{1}%<color=#f2c870>圣源属性</color>伤害；首次释放技能后，生成一张影牌；影牌会在莉莉丝再次释放此技能时攻击敌人造成{2}%<color=#f2c870>圣源属性</color>伤害。	['4', '30', '270']				[3]		True	3
10304	1				1		[4]	灵光飞冕	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon218.png		掷出持续{0}秒的旋转帽子，造成每秒{1}%的<color=#77baf0>灵源属性</color>伤害，并在对应位置生成灵属领域（灵属领域：每秒对其中的敌人造成{2}%的<color=#77baf0>灵源属性</color>伤害，持续时间{3}秒）。	['3', '50', '30', '3']				[2]		True	4
10305	1				1		[4]	疾灵闪击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon217.png		发起连续攻击，造成{0}%<color=#77baf0>灵源属性</color>伤害，最后一击时在脚下生成灵属领域（灵属领域：每秒对其中的敌人造成{1}%的<color=#77baf0>灵源属性</color>伤害，持续时间{2}秒）。	['560', '30', '3']				[2]		True	5
10306	1				1		[4]	灵阵缚形	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon216.png		造成{0}%<color=#77baf0>灵源属性</color>伤害，之后在目标脚下生成灵属领域（灵属领域：每秒对其中的敌人造成{1}%的<color=#77baf0>灵源属性</color>伤害，持续时间{2}秒）。	['325', '30', '3']				[2]		True	6
10307	1				1		[4]	伞构护域	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon219.png		举起伞【防御】{0}秒，为自己添加{1}%<color=#ecd7bd>最大生命值</color>的护盾值；【防御】期间受击时，进行反击造成{2}%<color=#ecd7bd>物理属性</color>伤害，并额外为自己添加{3}%<color=#ecd7bd>最大生命值</color>的护盾值。	['1', '9', '30', '1']				[4]	[4]	True	7
10308	1				1		[4]	爆裂符卡	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon221.png		向敌人掷出牌，造成{0}%<color=#ecd7bd>物理属性</color>伤害，并为自己添加{1}%<color=#ecd7bd>最大生命值</color>的护盾值。	['50', '10']				[4]	[4]	True	8
10309	1				1		[4]	魅影谜术	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon220.png		对敌人发动攻击造成{0}%<color=#ecd7bd>物理属性</color>伤害，并为自己添加{1}%<color=#ecd7bd>最大生命值</color>的护盾值。	['45', '9.5']				[4]	[4]	True	9
10310	1				1		[4]	绝狱返生	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon222.png		对敌人发动多段攻击造成{0}%<color=#ecd7bd>物理属性</color>伤害，之后每秒为自己治疗{1}%<color=#ecd7bd>最大生命值</color>的生命值，持续{2}秒。	['90', '3.5', '3']				[5]	[5]	True	10
10311	1				1		[4]	赤涌铸躯	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon224.png		对敌人投掷帽子造成{0}%<color=#ecd7bd>物理属性</color>伤害，并立即为自己治疗{1}%<color=#ecd7bd>最大生命值</color>的生命值。	['60', '9.5']				[5]	[5]	True	11
10312	1				1		[4]	劫烬涅槃	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon223.png		在3秒内无法移动，并每秒恢复{0}%<color=#ecd7bd>最大生命值</color>的生命值；时间结束后，引发一次爆炸，对周围敌人造成{1}%<color=#ecd7bd>物理属性</color>伤害。	['6', '90']				[5]	[5]	True	12
10313	1				1		[4]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png										26
10901	1						[7]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		意识聚合体普攻								
10902	1						[9]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		巴拉德普攻								
10903	1						[10]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		机械异种普攻								
10904	1						[11]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		认知措糅体普攻								
10905	1						[12]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		圣堂守卫普攻								
10906	1						[13]	普通攻击	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		复苏者普攻								
