Id	RankName	Rank	RankStar	Rating	KWin	KLose	RankProtect	IconRes	PvpBonusRating	PvpPerfectRating	RewardId	KExWin	KExLose	PvpExBonusRating	PvpExLoseRating
1	无名浪客	1	1		45		1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10		30		30	
2	无名浪客	1	2	200	45		1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10		30		30	
3	无名浪客	1	3	400	40	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10		30		30	20
4	浴血游侠	2	1	600	40	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10		25		30	20
5	浴血游侠	2	2	800	40	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10		25		30	20
6	浴血游侠	2	3	1000	40	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10		25		30	20
7	百战豪勇	3	1	1200	30	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10		20		25	20
8	百战豪勇	3	2	1400	30	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10		20		25	20
9	百战豪勇	3	3	1600	30	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10		20		25	20
10	绝命镖客	4	1	1800	25	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10		20		15	20
11	绝命镖客	4	2	2000	25	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10		15		15	20
12	绝命镖客	4	3	2200	25	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10		15		15	20
13	不朽传奇	5	1	2400	20	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon05.png	20	10		15		15	20
