Id	Type	ShowType	Title	Img	OpenStoryLineContentId	ShowConditionId	ConnectClueIds	LockDesc	UnlockDesc	CompleteDesc	ThinkDesc	ScriptId	StoryId	Index
2100	1	1	渡边	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102			尚未收集到该线索	与自己同行的伙伴之一，暂时想不起来是怎样与他结识的。	与自己签下血契的「战争骑士」，拥有召唤恶魔火枪的权能，因必须终结钢铁军团的罪孽而与自己一同踏上征伐圣堂的道路。		2100	RG01001BA	100
2101	2	2	恶魔火枪	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	渡边能够操控的悬空兵器，原理与机制皆不明晰。	渡边能够操控的悬空兵器，原理与机制皆不明晰。				101
2102	2	2	“矛隼”	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	渡边的父亲，钢铁军团前任统帅。	渡边的父亲，钢铁军团前任统帅。				102
2103	2	2	渡边的计划	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	渡边似乎正在谋划着什么，为此需要自己力量的协助。	渡边似乎正在谋划着什么，为此需要自己力量的协助。				103
2200	1	1	钢铁军团	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	205			尚未收集到该线索	他们曾是人类对抗恶魔的壁垒，如今却助纣为虐，协助天使统治着烬土边疆的人民。	他们曾是人类对抗恶魔的壁垒，如今因受到了圣堂的控制而腐化成嗜血的鹰犬，在天使的遥控下屠戮这片土地上无辜的人民。		2200		200
2201	2	2	摩利甘	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	涅缇娅的魔宠，正形影不离地跟在自己身边。	涅缇娅的魔宠，正形影不离地跟在自己身边。				201
2202	2	2	安静的滚石谷	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	连接烬土东西部的交通枢纽，天使似乎从未袭击过这里。远近的黑市商人都会选择这条道路，将昂贵的物资送往西部。	连接烬土东西部的交通枢纽，天使似乎从未袭击过这里。远近的黑市商人都会选择这条道路，将昂贵的物资送往西部。				202
2203	2	2	圣堂的控制	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	受到圣堂控制的人会彻底沦为言听计从的傀儡，只有将其杀死才能予以解脱。	受到圣堂控制的人会彻底沦为言听计从的傀儡，只有将其杀死才能予以解脱。				203
2204	2	2	天灾的腐化	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	受到天灾血雨的影响，许多动植物都发生了变异。	受到天灾血雨的影响，许多动植物都发生了变异。				204
2205	2	2	被袭击的谢尔曼堡	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	被洗劫的城市，渡边在城郊发现了近期扎营的痕迹。	被洗劫的城市，渡边在城郊发现了近期扎营的痕迹。				205
2206	2	2	旅行商人	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205			尚未收集到该线索	被自己救下的商人，愿意无偿提供马匹和物资援助。	被自己救下的商人，愿意无偿提供马匹和物资援助。				206
2300	1	1	圣环要塞	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	212			尚未收集到该线索	钢铁军团控制的重要据点，传闻昔日弑神的圣环巨炮就在此处。	钢铁军团控制的重要据点，军团散落在整个烬土的零散兵力正朝着此处全速前进。为了速战速决，众人制定了一个“里应外合”的计划，准备对要塞发动奇袭。		2300		300
2301	2	2	铁殇	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	威名远扬的烬焰三杰之一，钢铁军团的实际控制者，有着强悍的个人战力。如今受到圣堂的控制，丧失了理智。	威名远扬的烬焰三杰之一，钢铁军团的实际控制者，有着强悍的个人战力。如今受到圣堂的控制，丧失了理智。				301
2302	2	2	圣环银弹	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	钢铁军团的圣物，搭配上圣环巨炮可以喷涌出弑神的光枪，但在使用前需要经历漫长的充能。因此，圣环巨炮除了极特殊情况，都会选择优先装填普通弹药。	钢铁军团的圣物，搭配上圣环巨炮可以喷涌出弑神的光枪，但在使用前需要经历漫长的充能。因此，圣环巨炮除了极特殊情况，都会选择优先装填普通弹药。				302
