Key	Desc	Values
TaskOverflowGoodFactor	提前完成任务，多余的材料转为金币	['10']
ActiveSkillSlotInitCount	初始主动技能槽位数量	['4']
InsertSkillSlotInitCount	初始插入技能槽位数量	['3']
SkillBagSlotInitCount	初始技能背包槽位数量	['8']
ActiveSkillSlotLimit	主动技能槽位最大数量限制	['4']
InsertSkillSlotLimit	插入技能槽位最大数量限制	['3']
SkillBagSlotLimit	技能背包槽位数最大限制	['8']
ActiveSkillSlotSort	主动技能槽位适配顺序(1特殊槽,2主动槽,3插入槽,4背包)	['2', '4']
ClashSkillSlotSort	拼刀技能槽位适配顺序(1特殊槽,2主动槽,3插入槽,4背包)	['1', '4']
UltraCalcSkillSlotSort	超算技能槽位适配顺序(1特殊槽,2主动槽,3插入槽,4背包)	['1', '4']
InsertSkillSlotSort	插入技能槽位适配顺序(1特殊槽,2主动槽,3插入槽,4背包)	['3', '1', '4']
PlayModeConditionId	玩法模式条件ID	['1021001']
SaveTagCount	存档标签数量	['2']
MaxSaveFileCount	存档槽位数量	['6']
Theatre6Coin	故事线代币	['97084']
TalentCoin	天赋树代币	['97085']
CSCost	双方开超算需要消耗的超算值	['100']
EvasionDmg-	闪避时伤害减免（万分比）	['8000']
BlockDmg-	格挡时伤害减免（万分比）	['5000']
BlockCS+	格挡时获得额外超算值（万分比）	['2000']
CriticalDmg+	暴击时伤害提升（万分比）	['5000']
CriticalTL+	暴击时回复X点体力	['10']
WeakenTime	疲劳时间（秒）	['90']
PDDmg+	拼刀时，每1点韧性提升X%伤害	['2500']
DefaultDice	初始情况下的拼点浮动值上限	['5']
TLDmg-	受到伤害时，每1点体力造成的伤害减免（万分比）	['20']
MultipleCSRate-	单个回合期间，一方多次触发超算时，超算获取率降低（万分比）	['1000']
DefaultURSkill	角色刚进入游戏时的拼刀/超算技能槽	['1']
DefaultZDSkill	角色刚进入游戏时的主动技能槽	['3']
DefaultCRSkill	角色刚进入游戏时的插入技能槽	['0']
EventMaxDepth	事件循环最大深度（程序用）	['999']
BuffMaxTriggerCount	同一时间BUFF最大触发次数	['20']
StoryUpdateTime	剧情更新时间	['2026/1/1']
GoodBaseWeight	材料基础权重，任务随机时用	['100']
StoryAvgId	首次进去剧情模式播放的AVG	['1']
