Id	SkillKey	Name	Desc	ShortDesc	DescParams	Icon	ComboList	BuildTags	Level	Magics	Type	IsOutPool	SaveScore	Character	BuyPrice	SellPrice	IsOutWiki	WikiPriority	CostTL	CSMag	TLDam	Quality	KeyWordIds
1	1	placeholder_主动技能1测试版	placeholder_这是技能1，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能1简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3He.png	[1025101]	[1]	1		1	True	1000		10	5			3	10000	1	1	[1, 2, 3, 3]
6	2	placeholder_主动技能2测试版	placeholder_这是技能2，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能2简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Ma.png	[1025102]	[1]	1		1	True	1500		10	5			3	10000	1	2	[1]
11	3	placeholder_主动技能3测试版	placeholder_这是技能3，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能3简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Ma.png	[1025103]	[1]	1		1	True	1500		10	5			3	10000	1	2	[1]
16	4	placeholder_主动技能4测试版	placeholder_这是技能4，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能4简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Ma.png	[1025104]	[1]	1		1	True	1500		10	5			3	10000	1	2	[1]
21	5	placeholder_主动技能5测试版	placeholder_这是技能5，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能5简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Ma.png	[1025104]	[1]	1		1	True	1500		10	5			3	10000	1	2	[1]
26	6	placeholder_拼刀技能1测试版	placeholder_这是拼刀技能1，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是拼刀技能1简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet2Bei.png	[1025301]	[2]	1		2	True	2000		20	10			3	10000	1	3	[1]
31	7	placeholder_拼刀技能2测试版	placeholder_这是拼刀技能2，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是拼刀技能2简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Mao.png	[1025302, 1025303]	[2]	1		2	True	2000		20	10			3	10000	1	4	[1]
36	8	placeholder_超算技能1测试版	placeholder_这是技能5，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能5简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet2Yang.png	[1025401]	[1, 2]	1		3	True	2000		20	10			3	10000	1	5	[1]
41	9	placeholder_超算技能2测试版	placeholder_这是技能6，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能6简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Ying1.png	[1025402, 1025403]	[1, 2]	1		3	True	1000		20	10			3	10000	1	1	[1]
46	10	placeholder_插入技能1测试版	placeholder_这是技能7，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能7简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet2Ciwei1.png	[1025201, 1025202]	[1, 2]	1		4	True	1000		20	10			3	10000	1	1	[1]
51	11	placeholder_插入技能2测试版	placeholder_这是技能8，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能8简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Hu1.png	[1025203, 1025204]	[1, 2]	1		4	True	1000		20	10			3	10000	1	1	[1]
56	12	placeholder_插入技能3测试版	placeholder_这是技能8，加个图标<Icon=IconHp|45|45|0.5/>	placeholder_这是技能8简短描述，加个图标<Icon=IconHp|45|45|0.5/>		Assets/Product/Texture/Image/IconTools/IconPet3Hu1.png	[1025205]	[1, 2]	1		4	True	1000		20	10			3	10000	1	1	[1]
