Id	RoomIds	StartBuffPoolIds	AnnoId	StartAVG
10	[1000, 1001, 1002, 1003]	[2000]	101	2
20	[1010, 1011, 1012, 1013]	[2000]	110	16
21	[1020, 1021, 1022, 1023]		111	
30	[1100, 1101, 1102, 1103]	[2000]	120	19
40	[1200, 1201, 1202, 1203]	[2000]	130	
41	[1210, 1211, 1212, 1213]		131	
50	[1300, 1301, 1302, 1303]	[2000]	140	23
51	[1310, 1311, 1312, 1313]		141	
60	[1400, 1401, 1402]	[2000]	150	4
61	[1410, 1411, 1412, 1413]		151	
70	[1500, 1501, 1502, 1503]	[2000]	160	7
71	[1510, 1511, 1512, 1513]		161	
80	[1600, 1601, 1602, 1603]	[2000]	170	
81	[1610, 1611, 1612, 1613]		171	
90	[1700, 1701, 1702]	[2000]	180	13
91	[1710, 1711, 1712]		181	
1000	[101, 102, 103, 104, 105, 106]	[2000]	10	
1001	[110, 111, 112, 113, 114, 115]		11	
1002	[120, 121, 122, 123, 124, 125]		11	
1010	[201, 202, 203, 204, 205, 206]	[3000, 2000]	10	
1011	[210, 211, 212, 213, 214, 215]		11	
1012	[220, 221, 222, 223, 224, 225]		11	
1020	[101, 102, 103, 104, 105, 106]		2	
1021	[101, 102, 103, 104, 105, 106]		2	
1022	[101, 102, 103, 104, 105, 106]		2	
1030	[101, 102, 103, 104, 105, 106]		2	
1031	[101, 102, 103, 104, 105, 106]		2	
1032	[101, 102, 103, 104, 105, 106]		2	
1040	[101, 102, 103, 104, 105, 106]		2	
1041	[101, 102, 103, 104, 105, 106]		2	
1042	[101, 102, 103, 104, 105, 106]		2	
