Id	SanGroupId	MinSan	MaxSan	BuffIds	BuffTypes	SanType	SanTitleDes	SanTitleBg	Color	CueId	LineColor	LineOffset
1	1			[1006, 1007, 1012]	[2, 2, 2]	4			CF2939		CF2939	
2	1	1	20	[1004, 1012]	[2, 2]	2			CF2939			
3	1	21	40	[1003, 1011]	[2, 2]	2			FFD342		FFD342	
4	1	41	60	[1002, 1011]	[2, 2]	2			FFD342		FFD342	
5	1	61	80	[1001, 1011]	[2, 2]	2			FFD342		FFD342	-5
6	1	81	100	[1008, 1010]	[2, 2]	1			3CE7B2		3CE7B2	-6
7	2			[1006, 1007, 1012]	[2, 2, 2]	4			CF2939		CF2939	
8	2	1	50	[1002, 1011]	[2, 2]	2			FFD342			
9	2	51	75	[1001, 1011]	[2, 2]	2			FFD342		FFD342	
10	2	76	100	[1008, 1010]	[2, 2]	1			3CE7B2		3CE7B2	
