Id	Name	StoryId
1	placeholder_剧情1	RG01601BA
2	placeholder_剧情2	RG01602BA
3	placeholder_剧情3	RG01603BA
4	placeholder_剧情4	RG01701BA
5	placeholder_剧情5	RG01702BA
6	placeholder_剧情6	RG01703BA
7	placeholder_剧情7	RG01704BA
8	placeholder_剧情8	RG01705BA
9	placeholder_剧情9	RG01706BA
10	placeholder_剧情10	RG01707BA
11	placeholder_剧情11	RG01708BA
12	placeholder_剧情12	RG01709BA
13	placeholder_剧情13	RG01710BA
14	placeholder_剧情14	RG01711BA
15	placeholder_剧情15	RG01712BA
16	placeholder_剧情16	RG01801BA
17	placeholder_剧情17	RG01802BA
18	placeholder_剧情18	RG01803BA
19	placeholder_剧情19	RG01804BA
20	placeholder_剧情20	RG01805BA
21	placeholder_剧情21	RG01806BA
22	placeholder_剧情22	RG01807BA
23	placeholder_剧情23	RG01808BA
24	placeholder_剧情24	RG01809BA
25	placeholder_剧情25	RG01810BA
