Id	Type	Params	Desc
10001	1	[30200001]	惩罚关1
10002	1	[30200002]	惩罚关2
20001	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
20002	2	[3002]	能力1-4，持续1天
20003	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
20004	2	[3004]	能力2-4，持续1天
20005	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
20006	2	[3006]	能力3-4，持续1天
20007	2	[3007]	能力1,2,3-3，持续1天
30001	3	[61001, 20]	失去20战地配额
40001	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1021041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1021021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1021022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1021023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1021031	3	[61001, 20]	失去20战地配额
1022041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1022021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1022022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1022023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1022031	3	[61001, 20]	失去20战地配额
1023041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1023021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1023022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1023023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1023031	3	[61001, 20]	失去20战地配额
1031041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1031021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1031022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1031023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1031031	3	[61001, 20]	失去20战地配额
1032041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1032021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1032022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1032023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1032031	3	[61001, 20]	失去20战地配额
1033041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1033021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1033022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1033023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1033031	3	[61001, 20]	失去20战地配额
1041041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1041021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1041022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1041023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1041031	3	[61001, 20]	失去20战地配额
1042041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1042021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1042022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1042023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1042031	3	[61001, 20]	失去20战地配额
1043041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1043021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1043022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1043023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1043031	3	[61001, 20]	失去20战地配额
1044041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1044021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1044022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1044023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1044031	3	[61001, 20]	失去20战地配额
1051041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1051021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1051022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1051023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1051031	3	[61001, 20]	失去20战地配额
1052041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1052021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1052022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1052023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1052031	3	[61001, 20]	失去20战地配额
1053041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
1053021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
1053022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
1053023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
1053031	3	[61001, 20]	失去20战地配额
2021021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2021022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2021023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2021031	3	[61001, 20]	失去20战地配额
2021041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2022021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2022022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2022023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2022031	3	[61001, 20]	失去20战地配额
2022041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2031021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
